category,metric,hour,value
arrivals,p95,4,3
arrivals,p95,5,3
arrivals,p95,6,4
arrivals,p95,7,5
arrivals,p95,8,8
arrivals,p95,9,11
arrivals,p95,10,10
arrivals,p95,11,10
arrivals,p95,12,10.55
arrivals,p95,13,10
arrivals,p95,14,10
arrivals,p95,15,11
arrivals,p95,16,11.55
arrivals,p95,17,11
arrivals,p95,18,11
arrivals,p95,19,11.55
arrivals,p95,20,10
arrivals,p95,21,9
arrivals,p95,22,7.55
arrivals,p95,23,6
arrivals,stdev,0,1.676988
arrivals,stdev,1,1.411922
arrivals,stdev,2,1.379901
arrivals,stdev,3,1.210596
arrivals,stdev,4,1.150803
arrivals,stdev,5,1.119529
arrivals,stdev,6,1.290718
arrivals,stdev,7,1.534435
arrivals,stdev,8,2.310383
arrivals,stdev,9,3.024663
arrivals,stdev,10,2.79766
arrivals,stdev,11,2.783645
arrivals,stdev,12,2.646874
arrivals,stdev,13,2.611533
arrivals,stdev,14,2.587993
arrivals,stdev,15,2.727536
arrivals,stdev,16,2.900794
arrivals,stdev,17,2.772923
arrivals,stdev,18,2.694784
arrivals,stdev,19,2.795183
arrivals,stdev,20,2.49499
arrivals,stdev,21,2.39979
arrivals,stdev,22,2.093156
arrivals,stdev,23,1.828505
bed_assignment,mean,0,3.342857
bed_assignment,mean,1,2.531429
bed_assignment,mean,2,1.965714
bed_assignment,mean,3,1.745714
bed_assignment,mean,4,1.222857
bed_assignment,mean,5,1.248571
bed_assignment,mean,6,1.328571
bed_assignment,mean,7,1.937143
bed_assignment,mean,8,2.811429
bed_assignment,mean,9,4.211429
bed_assignment,mean,10,4.8
bed_assignment,mean,11,5.348571
bed_assignment,mean,12,5.531429
bed_assignment,mean,13,4.822857
bed_assignment,mean,14,5.077143
bed_assignment,mean,15,5.237143
bed_assignment,mean,16,5.62
bed_assignment,mean,17,5.72
bed_assignment,mean,18,5.38
bed_assignment,mean,19,5.637143
bed_assignment,mean,20,5.685714
bed_assignment,mean,21,5.042857
bed_assignment,mean,22,4.548571
bed_assignment,mean,23,3.8
bed_assignment,median,0,3
bed_assignment,median,1,2
bed_assignment,median,2,2
bed_assignment,median,3,2
bed_assignment,median,4,1
bed_assignment,median,5,1
bed_assignment,median,6,1
bed_assignment,median,7,2
bed_assignment,median,8,3
bed_assignment,median,9,4
bed_assignment,median,10,5
bed_assignment,median,11,5
bed_assignment,median,12,5
bed_assignment,median,13,5
bed_assignment,median,14,5
bed_assignment,median,15,5
bed_assignment,median,16,6
bed_assignment,median,17,5
bed_assignment,median,18,5
bed_assignment,median,19,5
bed_assignment,median,20,6
bed_assignment,median,21,5
bed_assignment,median,22,5
bed_assignment,median,23,4
bed_assignment,p25,0,2
bed_assignment,p25,1,1
bed_assignment,p25,2,1
bed_assignment,p25,3,1
bed_assignment,p25,4,0
bed_assignment,p25,5,0
bed_assignment,p25,6,0
bed_assignment,p25,7,1
bed_assignment,p25,8,2
bed_assignment,p25,9,3
bed_assignment,p25,10,3
bed_assignment,p25,11,4
bed_assignment,p25,12,4
bed_assignment,p25,13,3
bed_assignment,p25,14,3
bed_assignment,p25,15,4
bed_assignment,p25,16,4
bed_assignment,p25,17,4
bed_assignment,p25,18,4
bed_assignment,p25,19,4
bed_assignment,p25,20,4
bed_assignment,p25,21,4
bed_assignment,p25,22,3
bed_assignment,p25,23,2
bed_assignment,p75,0,5
bed_assignment,p75,1,3
bed_assignment,p75,2,3
bed_assignment,p75,3,2.75
bed_assignment,p75,4,2
bed_assignment,p75,5,2
bed_assignment,p75,6,2
bed_assignment,p75,7,3
bed_assignment,p75,8,4
bed_assignment,p75,9,5
bed_assignment,p75,10,6
bed_assignment,p75,11,7
bed_assignment,p75,12,7
bed_assignment,p75,13,6
bed_assignment,p75,14,6
bed_assignment,p75,15,7
bed_assignment,p75,16,7
bed_assignment,p75,17,7
bed_assignment,p75,18,7
bed_assignment,p75,19,7
bed_assignment,p75,20,7
bed_assignment,p75,21,6
bed_assignment,p75,22,6
bed_assignment,p75,23,5
bed_assignment,p95,0,7
bed_assignment,p95,1,5
bed_assignment,p95,2,5
bed_assignment,p95,3,4
bed_assignment,p95,4,3
bed_assignment,p95,5,3
bed_assignment,p95,6,3.55
bed_assignment,p95,7,4
bed_assignment,p95,8,5
bed_assignment,p95,9,8
bed_assignment,p95,10,9
bed_assignment,p95,11,9
bed_assignment,p95,12,10
bed_assignment,p95,13,8.55
bed_assignment,p95,14,9
bed_assignment,p95,15,9
bed_assignment,p95,16,10
bed_assignment,p95,17,10
bed_assignment,p95,18,9
bed_assignment,p95,19,10
bed_assignment,p95,20,9
bed_assignment,p95,21,8
bed_assignment,p95,22,8
bed_assignment,p95,23,7.55
bed_assignment,stdev,0,1.936571
bed_assignment,stdev,1,1.526419
bed_assignment,stdev,2,1.532446
bed_assignment,stdev,3,1.414587
bed_assignment,stdev,4,1.092587
bed_assignment,stdev,5,1.18657
bed_assignment,stdev,6,1.265833
bed_assignment,stdev,7,1.392383
bed_assignment,stdev,8,1.519269
bed_assignment,stdev,9,2.04558
bed_assignment,stdev,10,2.328348
bed_assignment,stdev,11,2.43863
bed_assignment,stdev,12,2.324132
bed_assignment,stdev,13,2.060001
bed_assignment,stdev,14,2.257694
bed_assignment,stdev,15,2.319296
bed_assignment,stdev,16,2.27888
bed_assignment,stdev,17,2.312641
bed_assignment,stdev,18,2.224158
bed_assignment,stdev,19,2.211533
bed_assignment,stdev,20,2.194959
bed_assignment,stdev,21,1.988763
bed_assignment,stdev,22,2.116029
bed_assignment,stdev,23,1.962397
discharge,mean,0,4.257143
discharge,mean,1,3.251429
discharge,mean,2,2.64
discharge,mean,3,2.394286
discharge,mean,4,1.988571
discharge,mean,5,1.834286
discharge,mean,6,1.745714
discharge,mean,7,1.391429
discharge,mean,8,1.251429
discharge,mean,9,1.945714
discharge,mean,10,2.625714
discharge,mean,11,3.185714
discharge,mean,12,4.122857
discharge,mean,13,4.445714
discharge,mean,14,4.477143
discharge,mean,15,4.671429
discharge,mean,16,4.542857
discharge,mean,17,4.797143
discharge,mean,18,4.902857
discharge,mean,19,4.925714
discharge,mean,20,5.102857
discharge,mean,21,4.645714
discharge,mean,22,4.708571
discharge,mean,23,4.434286
discharge,median,0,4
discharge,median,1,3
discharge,median,2,2
discharge,median,3,2
discharge,median,4,2
discharge,median,5,2
discharge,median,6,2
discharge,median,7,1
discharge,median,8,1
discharge,median,9,2
discharge,median,10,2
discharge,median,11,3
discharge,median,12,4
discharge,median,13,4
discharge,median,14,4
discharge,median,15,4.5
discharge,median,16,4
discharge,median,17,5
discharge,median,18,5
discharge,median,19,5
discharge,median,20,5
discharge,median,21,5
discharge,median,22,5
discharge,median,23,4
discharge,p25,0,3
discharge,p25,1,2
discharge,p25,2,1
discharge,p25,3,1
discharge,p25,4,1
discharge,p25,5,1
discharge,p25,6,1
discharge,p25,7,0
discharge,p25,8,0
discharge,p25,9,1
discharge,p25,10,1
discharge,p25,11,2
discharge,p25,12,3
discharge,p25,13,3
discharge,p25,14,3
discharge,p25,15,3
discharge,p25,16,3
discharge,p25,17,3
discharge,p25,18,3
discharge,p25,19,3
discharge,p25,20,4
discharge,p25,21,3
discharge,p25,22,3
discharge,p25,23,3
discharge,p75,0,6
discharge,p75,1,4.75
discharge,p75,2,4
discharge,p75,3,3
discharge,p75,4,3
discharge,p75,5,3
discharge,p75,6,3
discharge,p75,7,2
discharge,p75,8,2
discharge,p75,9,3
discharge,p75,10,4
discharge,p75,11,4
discharge,p75,12,5
discharge,p75,13,6
discharge,p75,14,6
discharge,p75,15,6
discharge,p75,16,6
discharge,p75,17,6
discharge,p75,18,7
discharge,p75,19,6
discharge,p75,20,7
discharge,p75,21,6
discharge,p75,22,6
discharge,p75,23,6
discharge,p95,0,8
discharge,p95,1,7
discharge,p95,2,6
discharge,p95,3,5
discharge,p95,4,5
discharge,p95,5,4.55
discharge,p95,6,4
discharge,p95,7,4
discharge,p95,8,4
discharge,p95,9,5
discharge,p95,10,6
discharge,p95,11,7
discharge,p95,12,8
discharge,p95,13,8
discharge,p95,14,8.55
discharge,p95,15,9
discharge,p95,16,8
discharge,p95,17,9
discharge,p95,18,9
discharge,p95,19,9
discharge,p95,20,9
discharge,p95,21,8
discharge,p95,22,8.55
discharge,p95,23,8
discharge,stdev,0,2.003476
discharge,stdev,1,1.931398
discharge,stdev,2,1.70171
discharge,stdev,3,1.654713
discharge,stdev,4,1.500673
discharge,stdev,5,1.420671
discharge,stdev,6,1.404423
discharge,stdev,7,1.247777
discharge,stdev,8,1.271096
discharge,stdev,9,1.607618
discharge,stdev,10,1.670551
discharge,stdev,11,1.911306
discharge,stdev,12,2.245478
discharge,stdev,13,2.328636
discharge,stdev,14,2.334074
discharge,stdev,15,2.280611
discharge,stdev,16,2.306623
discharge,stdev,17,2.249863
discharge,stdev,18,2.325083
discharge,stdev,19,2.26476
discharge,stdev,20,2.247123
discharge,stdev,21,2.166473
discharge,stdev,22,2.183734
discharge,stdev,23,1.968221
admit,mean,0,0.637143
admit,mean,1,0.594286
admit,mean,2,0.48
admit,mean,3,0.397143
admit,mean,4,0.397143
admit,mean,5,0.382857
admit,mean,6,0.26
admit,mean,7,0.148571
admit,mean,8,0.311429
admit,mean,9,0.368571
admit,mean,10,0.322857
admit,mean,11,0.357143
admit,mean,12,0.377143
admit,mean,13,0.36
admit,mean,14,0.52
admit,mean,15,0.6
admit,mean,16,0.574286
admit,mean,17,0.651429
admit,mean,18,0.517143
admit,mean,19,0.408571
admit,mean,20,0.777143
admit,mean,21,0.854286
admit,mean,22,0.731429
admit,mean,23,0.674286
admit,median,0,0
admit,median,1,0
admit,median,2,0
admit,median,3,0
admit,median,4,0
admit,median,5,0
admit,median,6,0
admit,median,7,0
admit,median,8,0
admit,median,9,0
admit,median,10,0
admit,median,11,0
admit,median,12,0
admit,median,13,0
admit,median,14,0
admit,median,15,0
admit,median,16,0
admit,median,17,0
admit,median,18,0
admit,median,19,0
admit,median,20,1
admit,median,21,1
admit,median,22,1
admit,median,23,1
admit,p25,0,0
admit,p25,1,0
admit,p25,2,0
admit,p25,3,0
admit,p25,4,0
admit,p25,5,0
admit,p25,6,0
admit,p25,7,0
admit,p25,8,0
admit,p25,9,0
admit,p25,10,0
admit,p25,11,0
admit,p25,12,0
admit,p25,13,0
admit,p25,14,0
admit,p25,15,0
admit,p25,16,0
admit,p25,17,0
admit,p25,18,0
admit,p25,19,0
admit,p25,20,0
admit,p25,21,0
admit,p25,22,0
admit,p25,23,0
admit,p75,0,1
admit,p75,1,1
admit,p75,2,1
admit,p75,3,1
admit,p75,4,1
admit,p75,5,1
admit,p75,6,0
admit,p75,7,0
admit,p75,8,1
admit,p75,9,1
admit,p75,10,1
admit,p75,11,1
admit,p75,12,1
admit,p75,13,1
admit,p75,14,1
admit,p75,15,1
admit,p75,16,1
admit,p75,17,1
admit,p75,18,1
admit,p75,19,1
admit,p75,20,1
admit,p75,21,1
admit,p75,22,1
admit,p75,23,1
admit,p95,0,2
admit,p95,1,2
admit,p95,2,2
admit,p95,3,1
admit,p95,4,1
admit,p95,5,1
admit,p95,6,1
admit,p95,7,1
admit,p95,8,1
admit,p95,9,1.55
admit,p95,10,1
admit,p95,11,1
admit,p95,12,1.55
admit,p95,13,2
admit,p95,14,2
admit,p95,15,2
admit,p95,16,2
admit,p95,17,2
admit,p95,18,2
admit,p95,19,2
admit,p95,20,2
admit,p95,21,2
admit,p95,22,2
admit,p95,23,2
admit,stdev,0,0.758745
admit,stdev,1,0.761518
admit,stdev,2,0.692489
admit,stdev,3,0.619171
admit,stdev,4,0.600375
admit,stdev,5,0.597744
admit,stdev,6,0.494497
admit,stdev,7,0.379542
admit,stdev,8,0.564099
admit,stdev,9,0.599556
admit,stdev,10,0.567802
admit,stdev,11,0.582351
admit,stdev,12,0.601377
admit,stdev,13,0.616488
admit,stdev,14,0.696615
admit,stdev,15,0.737843
admit,stdev,16,0.717303
admit,stdev,17,0.828355
admit,stdev,18,0.684242
admit,stdev,19,0.630128
admit,stdev,20,0.83033
admit,stdev,21,0.865725
admit,stdev,22,0.867685
admit,stdev,23,0.762421
lwbs,mean,0,0.188571
lwbs,mean,1,0.085714
lwbs,mean,2,0.034286
lwbs,mean,3,0.037143
lwbs,mean,4,0.011429
lwbs,mean,5,0.017143
lwbs,mean,6,0.002857
lwbs,mean,7,0.005714
lwbs,mean,8,0.005714
lwbs,mean,9,0.054286
lwbs,mean,10,0.074286
lwbs,mean,11,0.077143
lwbs,mean,12,0.077143
lwbs,mean,13,0.088571
lwbs,mean,14,0.114286
lwbs,mean,15,0.12
lwbs,mean,16,0.182857
lwbs,mean,17,0.237143
lwbs,mean,18,0.285714
lwbs,mean,19,0.305714
lwbs,mean,20,0.342857
lwbs,mean,21,0.337143
lwbs,mean,22,0.311429
lwbs,mean,23,0.211429
lwbs,median,0,0
lwbs,median,1,0
lwbs,median,2,0
lwbs,median,3,0
lwbs,median,4,0
lwbs,median,5,0
lwbs,median,6,0
lwbs,median,7,0
lwbs,median,8,0
lwbs,median,9,0
lwbs,median,10,0
lwbs,median,11,0
lwbs,median,12,0
lwbs,median,13,0
lwbs,median,14,0
lwbs,median,15,0
lwbs,median,16,0
lwbs,median,17,0
lwbs,median,18,0
lwbs,median,19,0
lwbs,median,20,0
lwbs,median,21,0
lwbs,median,22,0
lwbs,median,23,0
lwbs,p25,0,0
lwbs,p25,1,0
lwbs,p25,2,0
lwbs,p25,3,0
lwbs,p25,4,0
lwbs,p25,5,0
lwbs,p25,6,0
lwbs,p25,7,0
lwbs,p25,8,0
lwbs,p25,9,0
lwbs,p25,10,0
lwbs,p25,11,0
lwbs,p25,12,0
lwbs,p25,13,0
lwbs,p25,14,0
lwbs,p25,15,0
lwbs,p25,16,0
lwbs,p25,17,0
lwbs,p25,18,0
lwbs,p25,19,0
lwbs,p25,20,0
lwbs,p25,21,0
lwbs,p25,22,0
lwbs,p25,23,0
lwbs,p75,0,0
lwbs,p75,1,0
lwbs,p75,2,0
lwbs,p75,3,0
lwbs,p75,4,0
lwbs,p75,5,0
lwbs,p75,6,0
lwbs,p75,7,0
lwbs,p75,8,0
lwbs,p75,9,0
lwbs,p75,10,0
lwbs,p75,11,0
lwbs,p75,12,0
lwbs,p75,13,0
lwbs,p75,14,0
lwbs,p75,15,0
lwbs,p75,16,0
lwbs,p75,17,0
lwbs,p75,18,0
lwbs,p75,19,0
lwbs,p75,20,0
lwbs,p75,21,0
lwbs,p75,22,0
lwbs,p75,23,0
lwbs,p95,0,1
lwbs,p95,1,1
lwbs,p95,2,0
lwbs,p95,3,0
lwbs,p95,4,0
lwbs,p95,5,0
lwbs,p95,6,0
lwbs,p95,7,0
lwbs,p95,8,0
lwbs,p95,9,0
lwbs,p95,10,1
lwbs,p95,11,1
lwbs,p95,12,1
lwbs,p95,13,1
lwbs,p95,14,1
lwbs,p95,15,1
lwbs,p95,16,1
lwbs,p95,17,2
lwbs,p95,18,2
lwbs,p95,19,2
lwbs,p95,20,2
lwbs,p95,21,2
lwbs,p95,22,2
lwbs,p95,23,1
lwbs,stdev,0,0.400123
lwbs,stdev,1,0.344538
lwbs,stdev,2,0.182223
lwbs,stdev,3,0.217548
lwbs,stdev,4,0.106444
lwbs,stdev,5,0.150426
lwbs,stdev,6,0.053452
lwbs,stdev,7,0.075485
lwbs,stdev,8,0.075485
lwbs,stdev,9,0.272779
lwbs,stdev,10,0.355346
lwbs,stdev,11,0.316305
lwbs,stdev,12,0.287849
lwbs,stdev,13,0.331076
lwbs,stdev,14,0.412653
lwbs,stdev,15,0.389548
lwbs,stdev,16,0.57726
lwbs,stdev,17,0.631814
lwbs,stdev,18,0.704933
lwbs,stdev,19,0.722715
lwbs,stdev,20,0.74337
