season,category,metric,hour,value
winter,bed_assignment,stdev,9,2
winter,bed_assignment,stdev,10,2
winter,bed_assignment,stdev,11,2
winter,bed_assignment,stdev,12,2
winter,bed_assignment,stdev,13,2
winter,bed_assignment,stdev,14,2
winter,bed_assignment,stdev,15,2
winter,bed_assignment,stdev,16,2
winter,bed_assignment,stdev,17,2
winter,bed_assignment,stdev,18,2
winter,bed_assignment,stdev,19,2
winter,bed_assignment,stdev,20,2
winter,bed_assignment,stdev,21,2
winter,bed_assignment,stdev,22,2
winter,bed_assignment,stdev,23,2
