category,metric,hour,value
boarding,stdev,11,1.145772
boarding,stdev,12,1.117272
boarding,stdev,13,1.099881
boarding,stdev,14,1.115747
boarding,stdev,15,1.133281
boarding,stdev,16,1.152718
boarding,stdev,17,1.147955
boarding,stdev,18,1.126271
boarding,stdev,19,1.134773
boarding,stdev,20,1.111832
boarding,stdev,21,1.151572
boarding,stdev,22,1.187923
boarding,stdev,23,1.20939
arrivals,mean,0,2.202186
arrivals,mean,1,1.680328
arrivals,mean,2,1.357923
arrivals,mean,3,1.016393
arrivals,mean,4,0.983607
arrivals,mean,5,0.871585
arrivals,mean,6,1.060109
arrivals,mean,7,1.612022
arrivals,mean,8,2.863388
arrivals,mean,9,3.945355
arrivals,mean,10,4.259563
arrivals,mean,11,4.581967
arrivals,mean,12,4.483607
arrivals,mean,13,4.540984
arrivals,mean,14,4.42623
arrivals,mean,15,4.510929
arrivals,mean,16,5.461749
arrivals,mean,17,5.718579
arrivals,mean,18,6.106557
arrivals,mean,19,6.251366
arrivals,mean,20,5.959016
arrivals,mean,21,5.398907
arrivals,mean,22,3.983607
arrivals,mean,23,3.240437
arrivals,median,0,2
arrivals,median,1,1
arrivals,median,2,1
arrivals,median,3,1
arrivals,median,4,1
arrivals,median,5,1
arrivals,median,6,1
arrivals,median,7,1
arrivals,median,8,3
arrivals,median,9,4
arrivals,median,10,4
arrivals,median,11,4
arrivals,median,12,4
arrivals,median,13,4
arrivals,median,14,4
arrivals,median,15,4
arrivals,median,16,5
arrivals,median,17,5
arrivals,median,18,6
arrivals,median,19,6
arrivals,median,20,6
arrivals,median,21,5
arrivals,median,22,4
arrivals,median,23,3
arrivals,p25,0,1
arrivals,p25,1,1
arrivals,p25,2,0
arrivals,p25,3,0
arrivals,p25,4,0
arrivals,p25,5,0
arrivals,p25,6,0
arrivals,p25,7,1
arrivals,p25,8,1
arrivals,p25,9,2
arrivals,p25,10,2
arrivals,p25,11,3
arrivals,p25,12,3
arrivals,p25,13,3
arrivals,p25,14,3
arrivals,p25,15,3
arrivals,p25,16,3
arrivals,p25,17,4
arrivals,p25,18,4
arrivals,p25,19,4
arrivals,p25,20,4
arrivals,p25,21,4
arrivals,p25,22,2
arrivals,p25,23,2
arrivals,p75,0,3
arrivals,p75,1,2
arrivals,p75,2,2
arrivals,p75,3,1
arrivals,p75,4,2
arrivals,p75,5,1
arrivals,p75,6,2
arrivals,p75,7,2
arrivals,p75,8,4
arrivals,p75,9,5
arrivals,p75,10,6
arrivals,p75,11,6
arrivals,p75,12,6
arrivals,p75,13,6
arrivals,p75,14,6
arrivals,p75,15,6
arrivals,p75,16,7
arrivals,p75,17,7.75
arrivals,p75,18,8
arrivals,p75,19,8
arrivals,p75,20,8
arrivals,p75,21,7
arrivals,p75,22,5
arrivals,p75,23,4
arrivals,p95,0,5
arrivals,p95,1,4
arrivals,p95,2,4
arrivals,p95,3,3
arrivals,p95,4,3
arrivals,p95,5,3
arrivals,p95,6,3
arrivals,p95,7,4
arrivals,p95,8,6.75
arrivals,p95,9,9
arrivals,p95,10,8
arrivals,p95,11,9
arrivals,p95,12,8
arrivals,p95,13,9
arrivals,p95,14,8
arrivals,p95,15,8
arrivals,p95,16,10
arrivals,p95,17,11
arrivals,p95,18,11
arrivals,p95,19,11
arrivals,p95,20,10
arrivals,p95,21,9
arrivals,p95,22,7
arrivals,p95,23,7
